Variable;Description;Subcategory;Type;Values;;Mutability;Data Source
MEDIA_ESCOLA;School mean Enem score;Target;Continuous;;;Target;ENEM 2024
TIER;Performance tier (quartile-based);Target;Categorical;0=Q1  1=Q2  2=Q3  3=Q4;0=Q1  1=Q2  2=Q3  3=Q4;Target;Derived
TP_DEPENDENCIA;Dependência Administrativa;Administrative context;Categorical;"1 - Federal; 2 - Estadual; 3 - Municipal; 4 - Privada";"1 - Federal; 2 - State; 3 - Municipal; 4 - Private";Immutable;School Census 2024
TP_LOCALIZACAO;Localização;Geographic context;Categorical;"1 - Urbana; 2 - Rural";"1 - Urban; 2 - Rural";Immutable;School Census 2024
TP_LOCALIZACAO_DIFERENCIADA;Localização diferenciada da escola;Geographic context;Categorical;"0 - A escola não está em área de localização diferenciada; 1 - Área de assentamento; 2 - Terra indígena; 3 - Comunidade quilombola; 8 - Área onde se localizam povos e comunidades tradicionais";"0 - A escola não está em área de localização diferenciada; 1 - Área de assentamento; 2 - Terra indígena; 3 - Comunidade quilombola; 8 - Área onde se localizam povos e comunidades tradicionais";Immutable;School Census 2024
CO_REGIAO;Código da Região Geográfica;Geographic context;Categorical;1=N  2=NE  3=SE  4=S  5=CO;1=N  2=NE  3=SE  4=S  5=CW;Immutable;School Census 2024
CO_UF;Código da Unidade da Federação;Geographic context;Categorical;Numeric codes xx;Numeric codes xx;Immutable;School Census 2024
IN_EDUCACAO_INDIGENA;Escola Indígena;Geographic context;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Immutable;School Census 2024
QT_MAT_MED;Número de Matrículas do Ensino Médio;School size;Numeric (count);≥1;≥1;Immutable;School Census 2024
PIB_PER_CAPITA;Municipal GDP per capita;Socioeconomic context;Continuous;BRL/inhabitant;BRL/inhabitant;Immutable;IBGE 2021
POPULACAO_LOG;Municipal population (log-transformed);Socioeconomic context;Continuous;log(inhabitants);log(inhabitants);Immutable;IBGE Census 2021
GINI_UF;State-level Gini inequality index;Socioeconomic context;Continuous;0–1;0–1;Immutable;PNAD 2024 / IBGE
IN_LOCAL_FUNC_PREDIO_ESCOLAR;Local de funcionamento da escola - Prédio Escolar;Building;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_PREDIO_COMPARTILHADO;Prédio compartilhado com outra escola;Building;Binary (0/1);"0 - Não; 1 - Yes; - Não aplicável para escolas que não ocupam prédio; escolar";"0 - Não; 1 - Sim; - Não aplicável para escolas que não ocupam prédio; escolar";Structural;School Census 2024
IN_BIBLIOTECA;Dependências físicas existentes e utilizadas na escola - Biblioteca;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
IN_SALA_LEITURA;Dependências físicas existentes e utilizadas na escola - Sala de leitura;Pedagogical spaces;Binary (0/1);"0 - No; 1 - Yes";"0 - Não; 1 - Sim";Structural;School Census 2024
